word	polarity
annoyance	-0.51
annoyances	-0.61
annoyed	-0.31
annoying	-0.41
annoyingly	-0.61
annoys	-0.21
anomalous	-0.51
anomaly	-0.31
antagonism	-0.61
antagonist	-0.61
antagonistic	-0.81
antagonize	-0.61
anti-	-0.11
anti-american	-0.91
anti-israeli	-0.81
anti-occupation	-1.11
anti-proliferation	-1.41
anti-semites	-0.81
anti-social	-0.71
anti-us	-0.31
anti-white	-0.61
antipathy	-0.51
antiquated	-0.61
antithetical	-0.81
anxieties	-0.51
anxiety	-0.31
anxious	-0.31
anxiously	-0.51
anxiousness	-0.71
apathetic	-0.51
apathetically	-0.91
apathy	-0.21
apocalypse	-0.61
apocalyptic	-0.71
apologist	-0.51
apologists	-0.61
appal	-0.11
appall	-0.21
appalled	-0.41
appalling	-0.51
appallingly	-0.71
apprehension	-0.81
apprehensions	-0.91
apprehensive	-0.81
apprehensively	-1.01
arbitrary	-0.51
arcane	-0.21
archaic	-0.31
arduous	-0.31
arduously	-0.51
argumentative	-0.91
arrogance	-0.51
arrogant	-0.41
arrogantly	-0.61
ashamed	-0.31
asinine	-0.31
asininely	-0.51
asinininity	-0.71
askance	-0.31
asperse	-0.31
aspersion	-0.51
aspersions	-0.61
assail	-0.21
assassin	-0.41
assassinate	-0.71
assault	-0.31
assult	-0.21
astray	-0.21
asunder	-0.31
atrocious	-0.51
atrocities	-0.61
atrocity	-0.41
atrophy	-0.31
attack	-0.21
attacks	-0.31
audacious	-0.51
audaciously	-0.71
audaciousness	-0.91
audacity	-0.41
audiciously	-0.71
austere	-0.31
authoritarian	-0.91
autocrat	-0.41
autocratic	-0.61
avalanche	-0.51
avarice	-0.31
avaricious	-0.61
avariciously	-0.81
avenge	-0.21
averse	-0.21
aversion	-0.41
aweful	-0.21
awful	-0.11
awfully	-0.31
awfulness	-0.51
awkward	-0.31
awkwardness	-0.71
ax	0
babble	-0.21
back-logged	-0.71
back-wood	-0.51
back-woods	-0.61
backache	-0.41
backaches	-0.51
backaching	-0.61
backbite	-0.41
backbiting	-0.61
backward	-0.41
backwardness	-0.81
backwood	-0.41
backwoods	-0.51
bad	0
badly	-0.11
baffle	-0.21
baffled	-0.31
bafflement	-0.61
baffling	-0.41
bait	-0.01
balk	-0.01
banal	-0.11
banalize	-0.41
bane	-0.01
banish	-0.21
banishment	-0.61
bankrupt	-0.41
barbarian	-0.51
barbaric	-0.41
barbarically	-0.81
barbarity	-0.51
barbarous	-0.51
barbarously	-0.71
barren	-0.21
baseless	-0.41
bash	-0.01
bashed	-0.21
bashful	-0.31
bashing	-0.31
bastard	-0.31
bastards	-0.41
battered	-0.41
battering	-0.51
batty	-0.11
bearish	-0.31
beastly	-0.31
bedlam	-0.21
bedlamite	-0.51
befoul	-0.21
beg	0
beggar	-0.21
beggarly	-0.41
begging	-0.31
beguile	-0.31
belabor	-0.31
belated	-0.31
beleaguer	-0.51
belie	-0.11
belittle	-0.41
belittled	-0.51
belittling	-0.61
bellicose	-0.51
belligerence	-0.81
belligerent	-0.71
belligerently	-0.91
bemoan	-0.21
bemoaning	-0.51
bemused	-0.31
bent	-0.01
berate	-0.21
bereave	-0.31
bereavement	-0.71
bereft	-0.21
berserk	-0.31
beseech	-0.31
beset	-0.11
besiege	-0.31
besmirch	-0.41
bestial	-0.31
betray	-0.21
betrayal	-0.41
betrayals	-0.51
betrayer	-0.41
betraying	-0.51
betrays	-0.31
bewail	-0.21
beware	-0.21
bewilder	-0.41
bewildered	-0.61
bewildering	-0.71
bewilderingly	-0.91
bewilderment	-0.81
bewitch	-0.31
bias	-0.01
biased	-0.21
biases	-0.21
bicker	-0.21
bickering	-0.51
bid-rigging	-0.71
bigotries	-0.51
bigotry	-0.31
bitch	-0.11
bitchy	-0.21
biting	-0.21
bitingly	-0.41
bitter	-0.21
bitterly	-0.41
bitterness	-0.61
bizarre	-0.31
blab	-0.01
blabber	-0.31
blackmail	-0.51
blah	-0.01
blame	-0.11
blameworthy	-0.71
bland	-0.11
blandish	-0.41
blaspheme	-0.51
blasphemous	-0.71
blasphemy	-0.51
blasted	-0.31
blatant	-0.31
blatantly	-0.51
blather	-0.31
bleak	-0.11
bleakly	-0.31
bleakness	-0.51
bleed	-0.11
bleeding	-0.41
bleeds	-0.21
blemish	-0.31
blind	-0.11
blinding	-0.41
blindingly	-0.61
blindside	-0.51
blister	-0.31
blistering	-0.61
bloated	-0.31
blockage	-0.41
blockhead	-0.51
bloodshed	-0.51
bloodthirsty	-0.81
bloody	-0.21
blotchy	-0.31
blow	-0.01
blunder	-0.31
blundering	-0.61
blunders	-0.41
blunt	-0.11
blur	-0.01
bluring	-0.31
blurred	-0.31
blurring	-0.41
blurry	-0.21
blurs	-0.11
blurt	-0.11
boastful	-0.41
boggle	-0.21
bogus	-0.11
boil	-0.01
boiling	-0.31
boisterous	-0.61
bomb	-0.01
bombard	-0.31
bombardment	-0.71
bombastic	-0.51
bondage	-0.31
bonkers	-0.31
bore	-0.01
bored	-0.11
boredom	-0.31
bores	-0.11
boring	-0.21
botch	-0.11
bother	-0.21
bothered	-0.41
bothering	-0.51
bothers	-0.31
bothersome	-0.61
bowdlerize	-0.61
boycott	-0.31
braggart	-0.41
bragger	-0.31
brainless	-0.51
brainwash	-0.51
brash	-0.11
brashly	-0.31
brashness	-0.51
brat	-0.01
bravado	-0.31
brazen	-0.21
brazenly	-0.41
brazenness	-0.61
breach	-0.21
break	-0.11
break-up	-0.41
break-ups	-0.51
breakdown	-0.51
breaking	-0.41
breaks	-0.21
breakup	-0.31
breakups	-0.41
bribery	-0.31
brimstone	-0.51
bristle	-0.31
brittle	-0.31
broke	-0.11
broken	-0.21
broken-hearted	-1.01
brood	-0.11
browbeat	-0.41
bruise	-0.21
bruised	-0.31
bruises	-0.31
bruising	-0.41
brusque	-0.31
brutal	-0.21
brutalising	-0.71
brutalities	-0.71
brutality	-0.51
brutalize	-0.51
brutalizing	-0.71
brutally	-0.41
brute	-0.11
brutish	-0.31
bs	0
buckle	-0.21
bug	0
bugging	-0.31
buggy	-0.11
bugs	-0.01
bulkier	-0.31
bulkiness	-0.51
bulky	-0.11
bulkyness	-0.51
bull****	-0.41
bull----	-0.41
bullies	-0.31
bullshit	-0.41
bullshyt	-0.41
bully	-0.11
bullying	-0.41
bullyingly	-0.61
bum	0
bump	-0.01
bumped	-0.21
bumping	-0.31
bumpping	-0.41
bumps	-0.11
bumpy	-0.11
bungle	-0.21
bungler	-0.31
bungling	-0.41
bunk	-0.01
burden	-0.21
burdensome	-0.61
burdensomely	-0.81
burn	-0.01
burned	-0.21
burning	-0.31
burns	-0.11
bust	-0.01
busts	-0.11
busybody	-0.41
butcher	-0.31
butchery	-0.41
buzzing	-0.31
byzantine	-0.51
cackle	-0.21
calamities	-0.61
calamitous	-0.61
calamitously	-0.81
calamity	-0.41
callous	-0.31
calumniate	-0.61
calumniation	-0.81
calumnies	-0.51
calumnious	-0.61
calumniously	-0.81
calumny	-0.31
cancer	-0.21
cancerous	-0.51
cannibal	-0.41
cannibalize	-0.71
capitulate	-0.61
capricious	-0.61
capriciously	-0.81
capriciousness	-1.01
capsize	-0.31
careless	-0.41
carelessness	-0.81
caricature	-0.61
carnage	-0.31
carp	-0.01
cartoonish	-0.61
cash-strapped	-0.91
castigate	-0.51
castrated	-0.51
casualty	-0.41
cataclysm	-0.51
cataclysmal	-0.71
cataclysmic	-0.71
cataclysmically	-1.11
catastrophe	-0.71
catastrophes	-0.81
catastrophic	-0.81
catastrophically	-1.21
catastrophies	-0.91
caustic	-0.31
caustically	-0.71
cautionary	-0.61
cave	-0.01
censure	-0.31
chafe	-0.11
chaff	-0.11
chagrin	-0.31
challenging	-0.71
chaos	-0.11
chaotic	-0.31
chasten	-0.31
chastise	-0.41
chastisement	-0.81
chatter	-0.31
chatterbox	-0.61
cheap	-0.11
cheapen	-0.31
cheaply	-0.31
cheat	-0.11
cheated	-0.31
cheater	-0.31
cheating	-0.41
cheats	-0.21
checkered	-0.51
cheerless	-0.51
cheesy	-0.21
chide	-0.11
childish	-0.41
chill	-0.11
chilly	-0.21
chintzy	-0.31
choke	-0.11
choleric	-0.41
choppy	-0.21
chore	-0.11
chronic	-0.31
chunky	-0.21
clamor	-0.21
clamorous	-0.51
clash	-0.11
cliche	-0.21
cliched	-0.31
clique	-0.21
clog	-0.01
clogged	-0.31
clogs	-0.11
cloud	-0.11
clouding	-0.41
cloudy	-0.21
clueless	-0.41
clumsy	-0.21
clunky	-0.21
coarse	-0.21
cocky	-0.11
coerce	-0.21
coercion	-0.41
coercive	-0.41
cold	-0.01
coldly	-0.21
collapse	-0.41
collude	-0.31
collusion	-0.51
combative	-0.51
combust	-0.31
comical	-0.31
commiserate	-0.71
commonplace	-0.71
commotion	-0.51
commotions	-0.61
complacent	-0.61
complain	-0.41
complained	-0.61
complaining	-0.71
complains	-0.51
complaint	-0.51
complaints	-0.61
complex	-0.31
complicated	-0.71
complication	-0.81
complicit	-0.51
compulsion	-0.61
compulsive	-0.61
concede	-0.31
conceded	-0.41
conceit	-0.31
conceited	-0.51
concen	-0.21
concens	-0.31
concern	-0.31
concerned	-0.51
concerns	-0.41
concession	-0.61
concessions	-0.71
condemn	-0.31
condemnable	-0.71
condemnation	-0.81
condemned	-0.51
condemns	-0.41
condescend	-0.61
condescending	-0.91
condescendingly	-1.11
condescension	-0.91
confess	-0.31
confession	-0.61
confessions	-0.71
confined	-0.41
conflict	-0.41
conflicted	-0.61
conflicting	-0.71
conflicts	-0.51
confound	-0.41
confounded	-0.61
confounding	-0.71
confront	-0.41
confrontation	-0.91
confrontational	-1.11
confuse	-0.31
confused	-0.41
confuses	-0.41
confusing	-0.51
confusion	-0.51
confusions	-0.61
congested	-0.51
congestion	-0.61
cons	-0.01
conscons	-0.41
conservative	-0.81
conspicuous	-0.71
conspicuously	-0.91
conspiracies	-0.81
conspiracy	-0.61
conspirator	-0.71
conspiratorial	-1.01
conspire	-0.41
consternation	-0.91
contagious	-0.61
contaminate	-0.71
contaminated	-0.81
contaminates	-0.81
contaminating	-0.91
contamination	-0.91
contempt	-0.41
contemptible	-0.81
contemptuous	-0.81
contemptuously	-1.01
contend	-0.31
contention	-0.61
contentious	-0.71
contort	-0.31
contortions	-0.71
contradict	-0.61
contradiction	-0.91
contradictory	-0.91
contrariness	-0.81
contravene	-0.61
contrive	-0.41
contrived	-0.51
controversial	-0.91
controversy	-0.71
convoluted	-0.61
corrode	-0.31
corrosion	-0.51
corrosions	-0.61
corrosive	-0.51
corrupt	-0.31
corrupted	-0.51
corrupting	-0.61
corruption	-0.61
corrupts	-0.41
corruptted	-0.61
costlier	-0.41
costly	-0.21
counter-productive	-1.41
counterproductive	-1.31
coupists	-0.41
covetous	-0.41
coward	-0.21
cowardly	-0.41
crabby	-0.21
crack	-0.11
cracked	-0.31
cracks	-0.21
craftily	-0.41
craftly	-0.31
crafty	-0.21
cramp	-0.11
cramped	-0.31
cramping	-0.41
cranky	-0.21
crap	-0.01
crappy	-0.21
craps	-0.11
crash	-0.11
crashed	-0.31
crashes	-0.31
crashing	-0.41
crass	-0.11
craven	-0.21
cravenly	-0.41
craze	-0.11
crazily	-0.31
craziness	-0.51
crazy	-0.11
creak	-0.11
creaking	-0.41
creaks	-0.21
credulous	-0.51
creep	-0.11
creeping	-0.41
creeps	-0.21
creepy	-0.21
crept	-0.11
crime	-0.11
criminal	-0.41
cringe	-0.21
cringed	-0.31
cringes	-0.31
cripple	-0.31
crippled	-0.41
cripples	-0.41
crippling	-0.51
crisis	-0.21
critic	-0.21
critical	-0.41
criticism	-0.51
criticisms	-0.61
criticize	-0.51
criticized	-0.61
criticizing	-0.71
critics	-0.31
cronyism	-0.41
crook	-0.11
crooked	-0.31
crooks	-0.21
crowded	-0.31
crowdedness	-0.71
crude	-0.11
cruel	-0.11
crueler	-0.31
cruelest	-0.41
cruelly	-0.31
cruelness	-0.51
cruelties	-0.51
cruelty	-0.31
crumble	-0.31
crumbling	-0.51
crummy	-0.21
crumple	-0.31
crumpled	-0.41
crumples	-0.41
crush	-0.11
crushed	-0.31
crushing	-0.41
cry	0
culpable	-0.41
culprit	-0.31
cumbersome	-0.61
cunt	-0.01
cunts	-0.11
cuplrit	-0.31
curse	-0.11
cursed	-0.21
curses	-0.21
curt	-0.01
cuss	-0.01
cussed	-0.21
cutthroat	-0.51
cynical	-0.31
cynicism	-0.41
d*mn	-0.01
damage	-0.21
damaged	-0.31
damages	-0.31
damaging	-0.41
damn	-0.01
damnable	-0.41
damnably	-0.41
damnation	-0.51
damned	-0.21
damning	-0.31
damper	-0.21
danger	-0.21
dangerous	-0.51
dangerousness	-0.91
dark	-0.01
darken	-0.21
darkened	-0.41
darker	-0.21
darkness	-0.41
dastard	-0.31
dastardly	-0.51
daunt	-0.11
daunting	-0.41
dauntingly	-0.61
dawdle	-0.21
daze	-0.01
dazed	-0.11
dead	-0.01
deadbeat	-0.41
deadlock	-0.41
deadly	-0.21
deadweight	-0.61
deaf	-0.01
dearth	-0.21
death	-0.11
debacle	-0.31
debase	-0.21
debasement	-0.61
debaser	-0.31
debatable	-0.51
debauch	-0.31
debaucher	-0.51
debauchery	-0.61
debilitate	-0.61
debilitating	-0.81
debility	-0.41
debt	-0.01
debts	-0.11
decadence	-0.51
decadent	-0.41
decay	-0.11
decayed	-0.31
deceit	-0.21
deceitful	-0.51
deceitfully	-0.71
deceitfulness	-0.91
deceive	-0.31
deceiver	-0.41
deceivers	-0.51
deceiving	-0.51
deception	-0.51
deceptive	-0.51
deceptively	-0.71
declaim	-0.31
decline	-0.31
declines	-0.41
declining	-0.51
decrement	-0.51
decrepit	-0.41
decrepitude	-0.71
decry	-0.11
defamation	-0.61
defamations	-0.71
defamatory	-0.61
defame	-0.21
defect	-0.21
defective	-0.51
defects	-0.31
defensive	-0.51
defiance	-0.41
defiant	-0.31
defiantly	-0.51
deficiencies	-0.81
deficiency	-0.61
deficient	-0.51
defile	-0.21
defiler	-0.31
deform	-0.21
deformed	-0.41
defrauding	-0.61
defunct	-0.31
defy	-0.01
degenerate	-0.61
degenerately	-0.81
degeneration	-0.81
degradation	-0.71
degrade	-0.31
degrading	-0.51
degradingly	-0.71
dehumanization	-1.01
dehumanize	-0.61
deign	-0.11
deject	-0.21
dejected	-0.41
dejectedly	-0.61
dejection	-0.51
delay	-0.11
delayed	-0.31
delaying	-0.41
delays	-0.21
delinquency	-0.71
delinquent	-0.61
delirious	-0.51
delirium	-0.41
delude	-0.21
deluded	-0.31
deluge	-0.21
delusion	-0.41
delusional	-0.61
delusions	-0.51
demean	-0.21
demeaning	-0.51
demise	-0.21
demolish	-0.41
demolisher	-0.61
demon	-0.11
demonic	-0.31
demonize	-0.41
demonized	-0.51
demonizes	-0.51
demonizing	-0.61
demoralize	-0.61
demoralizing	-0.81
demoralizingly	-1.01
denial	-0.21
denied	-0.21
denies	-0.21
denigrate	-0.51
denounce	-0.41
dense	-0.11
dent	-0.01
dented	-0.21
dents	-0.11
denunciate	-0.61
denunciation	-0.81
denunciations	-0.91
deny	-0.01
denying	-0.31
deplete	-0.31
deplorable	-0.61
deplorably	-0.61
deplore	-0.31
deploring	-0.51
deploringly	-0.71
deprave	-0.31
depraved	-0.41
depravedly	-0.61
deprecate	-0.51
depress	-0.31
depressed	-0.51
depressing	-0.61
depressingly	-0.81
depression	-0.61
depressions	-0.71
deprive	-0.31
deprived	-0.41
deride	-0.21
derision	-0.41
derisive	-0.41
derisively	-0.61
derisiveness	-0.81
derogatory	-0.61
desecrate	-0.51
desert	-0.21
desertion	-0.51
desiccate	-0.51
desiccated	-0.61
desititute	-0.61
desolate	-0.41
desolately	-0.61
desolation	-0.61
despair	-0.31
despairing	-0.61
despairingly	-0.81
desperate	-0.51
desperately	-0.71
desperation	-0.71
despicable	-0.61
despicably	-0.61
despise	-0.31
despised	-0.41
despoil	-0.31
despoiler	-0.51
despondence	-0.71
despondency	-0.71
despondent	-0.61
despondently	-0.81
despot	-0.21
despotic	-0.41
despotism	-0.51
destabilisation	-1.11
destains	-0.41
destitute	-0.51
destitution	-0.71
destroy	-0.31
destroyer	-0.51
destruction	-0.71
destructive	-0.71
desultory	-0.51
deter	-0.11
deteriorate	-0.71
deteriorating	-0.91
deterioration	-0.91
deterrent	-0.51
detest	-0.21
detestable	-0.61
detestably	-0.61
detested	-0.41
detesting	-0.51
detests	-0.31
detract	-0.31
detracted	-0.51
detracting	-0.61
detraction	-0.61
detracts	-0.41
detriment	-0.51
detrimental	-0.71
devastate	-0.51
devastated	-0.61
devastates	-0.61
devastating	-0.71
devastatingly	-0.91
devastation	-0.71
deviate	-0.31
deviation	-0.51
devil	-0.11
devilish	-0.41
devilishly	-0.61
devilment	-0.51
devilry	-0.31
devious	-0.31
deviously	-0.51
deviousness	-0.71
devoid	-0.21
diabolic	-0.41
diabolical	-0.61
diabolically	-0.81
diametrically	-0.91
diappointed	-0.71
diatribe	-0.41
diatribes	-0.51
dick	-0.01
dictator	-0.41
dictatorial	-0.71
die	0
die-hard	-0.41
died	-0.01
dies	-0.01
difficult	-0.51
difficulties	-0.81
difficulty	-0.61
diffidence	-0.61
dilapidated	-0.71
dilemma	-0.31
dilly-dally	-0.71
dim	0
dimmer	-0.21
din	0
ding	-0.01
dings	-0.11
dinky	-0.11
dire	-0.01
direly	-0.21
direness	-0.41
dirt	-0.01
dirtbag	-0.31
dirtbags	-0.41
dirts	-0.11
dirty	-0.11
disable	-0.31
disabled	-0.41
disaccord	-0.51
disadvantage	-0.81
disadvantaged	-0.91
disadvantageous	-1.11
disadvantages	-0.91
disaffect	-0.51
disaffected	-0.71
disaffirm	-0.51
disagree	-0.41
disagreeable	-0.81
disagreeably	-0.81
disagreed	-0.51
disagreeing	-0.71
disagreement	-0.81
disagrees	-0.51
disallow	-0.41
disapointed	-0.71
disapointing	-0.81
disapointment	-0.91
disappoint	-0.61
disappointed	-0.81
disappointing	-0.91
disappointingly	-1.11
disappointment	-1.01
disappointments	-1.11
disappoints	-0.71
disapprobation	-1.01
disapproval	-0.71
disapprove	-0.61
disapproving	-0.81
disarm	-0.21
disarray	-0.41
disaster	-0.41
disasterous	-0.71
disastrous	-0.61
disastrously	-0.81
disavow	-0.31
disavowal	-0.51
disbelief	-0.51
disbelieve	-0.61
disbeliever	-0.71
disclaim	-0.41
discombobulate	-1.01
discomfit	-0.51
discomfititure	-1.01
discomfort	-0.61
discompose	-0.61
disconcert	-0.61
disconcerted	-0.81
disconcerting	-0.91
disconcertingly	-1.11
disconsolate	-0.81
disconsolately	-1.01
disconsolation	-1.01
discontent	-0.61
discontented	-0.81
discontentedly	-1.01
discontinued	-0.81
discontinuity	-0.91
discontinuous	-0.91
discord	-0.31
discordance	-0.71
discordant	-0.61
discountenance	-1.01
discourage	-0.61
discouragement	-1.01
discouraging	-0.81
discouragingly	-1.01
discourteous	-0.81
discourteously	-1.01
discoutinous	-0.81
discredit	-0.51
discrepant	-0.61
discriminate	-0.81
discrimination	-1.01
discriminatory	-1.01
disdain	-0.31
disdained	-0.51
disdainful	-0.61
disdainfully	-0.81
disfavor	-0.41
disgrace	-0.41
disgraced	-0.51
disgraceful	-0.71
disgracefully	-0.91
disgruntle	-0.61
disgruntled	-0.71
disgust	-0.31
disgusted	-0.51
disgustedly	-0.71
disgustful	-0.61
disgustfully	-0.81
disgusting	-0.61
disgustingly	-0.81
dishearten	-0.61
disheartening	-0.91
dishearteningly	-1.11
dishonest	-0.51
dishonestly	-0.71
dishonesty	-0.61
dishonor	-0.41
dishonorable	-0.81
dishonorablely	-1.01
disillusion	-0.71
disillusioned	-0.91
disillusionment	-1.11
disillusions	-0.81
disinclination	-1.01
disinclined	-0.71
disingenuous	-0.81
disingenuously	-1.01
disintegrate	-0.81
disintegrated	-0.91
disintegrates	-0.91
disintegration	-1.01
disinterest	-0.71
disinterested	-0.91
dislike	-0.31
disliked	-0.41
dislikes	-0.41
disliking	-0.51
dislocated	-0.61
disloyal	-0.41
disloyalty	-0.61
dismal	-0.21
dismally	-0.41
dismalness	-0.61
dismay	-0.21
dismayed	-0.41
dismaying	-0.51
dismayingly	-0.71
dismissive	-0.61
dismissively	-0.81
disobedience	-0.81
disobedient	-0.71
disobey	-0.31
disoobedient	-0.81
disorder	-0.41
disordered	-0.61
disorderly	-0.61
disorganized	-0.81
disorient	-0.51
disoriented	-0.71
disown	-0.21
disparage	-0.51
disparaging	-0.71
disparagingly	-0.91
dispensable	-0.71
dispirit	-0.41
dispirited	-0.61
dispiritedly	-0.81
dispiriting	-0.71
displace	-0.41
displaced	-0.51
displease	-0.51
displeased	-0.61
displeasing	-0.71
displeasure	-0.71
disproportionate	-1.21
disprove	-0.41
disputable	-0.61
dispute	-0.31
disputed	-0.41
disquiet	-0.41
disquieting	-0.71
disquietingly	-0.91
disquietude	-0.71
disregard	-0.51
disregardful	-0.81
disreputable	-0.81
disrepute	-0.51
disrespect	-0.61
disrespectable	-1.01
disrespectablity	-1.21
disrespectful	-0.91
disrespectfully	-1.11
disrespectfulness	-1.31
disrespecting	-0.91
disrupt	-0.31
disruption	-0.61
disruptive	-0.61
diss	-0.01
dissapointed	-0.81
dissappointed	-0.91
dissappointing	-1.01
dissatisfaction	-1.11
dissatisfactory	-1.11
dissatisfied	-0.81
dissatisfies	-0.81
dissatisfy	-0.61
dissatisfying	-0.91
dissed	-0.21
dissemble	-0.51
dissembler	-0.61
dissension	-0.61
dissent	-0.31
dissenter	-0.51
dissention	-0.61
disservice	-0.61
disses	-0.21
dissidence	-0.61
dissident	-0.51
dissidents	-0.61
dissing	-0.31
dissocial	-0.51
dissolute	-0.51
dissolution	-0.71
dissonance	-0.61
dissonant	-0.51
dissonantly	-0.71
dissuade	-0.41
dissuasive	-0.61
distains	-0.41
distaste	-0.41
distasteful	-0.71
distastefully	-0.91
distort	-0.31
distorted	-0.51
distortion	-0.61
distorts	-0.41
distract	-0.41
distracting	-0.71
distraction	-0.71
distraught	-0.61
distraughtly	-0.81
distraughtness	-1.01
distress	-0.41
distressed	-0.61
distressing	-0.71
distressingly	-0.91
distrust	-0.41
distrustful	-0.71
distrusting	-0.71
disturb	-0.31
disturbance	-0.71
disturbed	-0.51
disturbing	-0.61
disturbingly	-0.81
disunity	-0.41
disvalue	-0.41
divergent	-0.51
divisive	-0.41
divisively	-0.61
divisiveness	-0.81
dizzing	-0.31
dizzingly	-0.51
dizzy	-0.11
doddering	-0.51
dodgey	-0.21
dogged	-0.21
doggedly	-0.41
dogmatic	-0.41
doldrums	-0.41
domineer	-0.41
domineering	-0.71
donside	-0.31
doom	-0.01
doomed	-0.21
doomsday	-0.41
dope	-0.01
doubt	-0.11
doubtful	-0.41
doubtfully	-0.61
doubts	-0.21
douchbag	-0.41
douchebag	-0.51
douchebags	-0.61
downbeat	-0.41
downcast	-0.41
downer	-0.21
downfall	-0.41
downfallen	-0.61
downgrade	-0.51
downhearted	-0.71
downheartedly	-0.91
downhill	-0.41
downside	-0.41
downsides	-0.51
downturn	-0.41
downturns	-0.51
drab	-0.01
draconian	-0.51
draconic	-0.41
drag	-0.01
dragged	-0.31
dragging	-0.41
dragoon	-0.31
drags	-0.11
drain	-0.11
drained	-0.31
draining	-0.41
drains	-0.21
drastic	-0.31
drastically	-0.71
drawback	-0.41
drawbacks	-0.51
dread	-0.11
dreadful	-0.41
dreadfully	-0.61
dreadfulness	-0.81
dreary	-0.21
dripped	-0.31
dripping	-0.41
drippy	-0.21
drips	-0.11
drones	-0.21
droop	-0.11
droops	-0.21
drop-out	-0.41
drop-outs	-0.51
dropout	-0.31
dropouts	-0.41
drought	-0.31
drowning	-0.41
drunk	-0.11
drunkard	-0.41
drunken	-0.31
dubious	-0.31
dubiously	-0.51
dubitable	-0.51
dud	0
dull	-0.01
dullard	-0.31
dumb	-0.01
dumbfound	-0.51
dump	-0.01
dumped	-0.21
dumping	-0.31
dumps	-0.11
dunce	-0.11
dungeon	-0.31
dungeons	-0.41
dupe	-0.01
dust	-0.01
dusty	-0.11
dwindling	-0.51
dying	-0.11
earsplitting	-0.81
eccentric	-0.51
eccentricity	-0.81
effigy	-0.21
effrontery	-0.61
egocentric	-0.61
egomania	-0.41
egotism	-0.31
egotistical	-0.71
egotistically	-0.91
egregious	-0.51
egregiously	-0.71
election-rigger	-1.11
elimination	-0.71
emaciated	-0.51
emasculate	-0.61
embarrass	-0.51
embarrassing	-0.81
embarrassingly	-1.01
embarrassment	-0.91
embattled	-0.51
embroil	-0.31
embroiled	-0.51
embroilment	-0.71
emergency	-0.51
emphatic	-0.41
emphatically	-0.81
emptiness	-0.51
encroach	-0.41
encroachment	-0.81
endanger	-0.41
enemies	-0.31
enemy	-0.11
enervate	-0.41
enfeeble	-0.41
enflame	-0.31
engulf	-0.21
enjoin	-0.21
enmity	-0.21
enrage	-0.21
enraged	-0.31
enraging	-0.41
enslave	-0.31
entangle	-0.41
entanglement	-0.81
entrap	-0.21
entrapment	-0.61
envious	-0.31
enviously	-0.51
enviousness	-0.71
epidemic	-0.41
equivocal	-0.51
erase	-0.11
erode	-0.11
erodes	-0.21
erosion	-0.31
err	0
errant	-0.21
erratic	-0.31
erratically	-0.71
erroneous	-0.51
erroneously	-0.71
error	-0.11
errors	-0.21
eruptions	-0.51
